"route","date","daytype","rides"
"1","03/11/2011","W","2,961"
"1","03/14/2011","W","2,698"
"1","03/15/2011","W","2,982"
"1","03/16/2011","W","2,851"
"1","03/17/2011","W","3,091"
"1","03/18/2011","W","2,658"
"1","03/21/2011","W","2,742"
"1","03/22/2011","W","2,903"
"1","03/23/2011","W","3,010"
"1","03/24/2011","W","2,845"
"1","03/25/2011","W","3,075"
"1","03/28/2011","W","3,301"
"1","03/29/2011","W","3,198"
"1","03/30/2011","W","2,968"
"1","03/31/2011","W","3,233"
"1","04/01/2011","W","2,581"
"1","04/04/2011","W","3,066"
"1","04/05/2011","W","2,965"
"1","04/06/2011","W","3,007"
"1","04/07/2011","W","3,450"
"1","04/08/2011","W","3,001"
"1","04/11/2011","W","2,682"
"1","04/12/2011","W","3,157"
"1","04/13/2011","W","3,344"
"1","04/14/2011","W","3,378"
"1","04/15/2011","W","2,729"
"1","04/18/2011","W","2,762"
"1","04/19/2011","W","2,553"
"1","04/20/2011","W","2,662"
"1","04/21/2011","W","2,682"
"1","04/22/2011","W","2,105"
"1","04/25/2011","W","3,034"
"1","04/26/2011","W","3,014"
"1","04/27/2011","W","2,891"
"1","04/28/2011","W","3,021"
"1","04/29/2011","W","3,092"
"1","05/02/2011","W","2,969"
"1","05/03/2011","W","3,196"
"1","05/04/2011","W","3,161"
"1","05/05/2011","W","2,979"
"1","05/06/2011","W","2,728"
"1","05/09/2011","W","3,101"
"1","05/10/2011","W","3,532"
"1","05/11/2011","W","3,164"
"1","05/12/2011","W","2,945"
"1","05/13/2011","W","2,771"
"1","05/16/2011","W","3,065"
"1","05/17/2011","W","3,104"
"1","05/18/2011","W","2,994"
"1","05/19/2011","W","2,862"
"1","05/20/2011","W","2,758"
"1","05/23/2011","W","2,721"
"1","05/24/2011","W","2,979"
"1","05/25/2011","W","2,791"
"1","05/26/2011","W","3,203"
"1","05/27/2011","W","2,747"
"1","05/31/2011","W","3,240"
"1","06/01/2011","W","2,869"
"1","06/02/2011","W","2,992"
"1","06/03/2011","W","2,583"
"1","06/06/2011","W","2,886"
"1","06/07/2011","W","3,550"
"1","06/08/2011","W","3,374"
"1","06/09/2011","W","3,038"
"1","06/10/2011","W","2,779"
"1","06/13/2011","W","2,706"
"1","06/14/2011","W","2,852"
"1","06/15/2011","W","2,817"
"1","06/16/2011","W","2,987"
"1","06/17/2011","W","2,524"
"1","06/20/2011","W","2,288"
"1","06/21/2011","W","2,465"
"1","06/22/2011","W","2,859"
"1","06/23/2011","W","2,668"
"1","06/24/2011","W","2,543"
"1","06/27/2011","W","2,741"
"1","06/28/2011","W","2,912"
"1","06/29/2011","W","2,883"
"1","06/30/2011","W","2,721"
"1","07/01/2011","W","2,286"
"1","07/05/2011","W","2,451"
"1","07/06/2011","W","2,942"
"1","07/07/2011","W","2,857"
"1","07/08/2011","W","2,469"
"1","07/11/2011","W","2,646"
"1","07/12/2011","W","2,803"
"1","07/13/2011","W","2,725"
"1","07/14/2011","W","2,666"
"1","07/15/2011","W","2,484"
"1","07/18/2011","W","2,778"
"1","07/19/2011","W","2,897"
"1","07/20/2011","W","2,758"
"1","07/21/2011","W","2,802"
"1","07/22/2011","W","2,420"
"1","07/25/2011","W","2,712"
"1","07/26/2011","W","2,843"
"1","07/27/2011","W","2,794"
"1","07/28/2011","W","2,492"
"1","07/29/2011","W","2,814"
"1","08/01/2011","W","2,773"
"1","08/02/2011","W","2,540"
"1","08/03/2011","W","2,815"
"1","08/04/2011","W","2,798"
"1","08/05/2011","W","3,064"
"1","08/08/2011","W","2,932"
"1","08/09/2011","W","2,728"
