"route","date","daytype","rides"
"1","08/22/2022","W","946"
"1","08/02/2021","W","373"
"1","06/24/2021","W","364"
"1","03/08/2024","W","873"
"1","08/27/2021","W","369"
"1","02/12/2024","W","920"
"1","02/19/2021","W","254"
"1","05/04/2022","W","735"
"1","07/16/2021","W","379"
"1","03/21/2023","W","1,118"
"1","10/08/2021","W","337"
"1","06/24/2024","W","755"
"1","01/31/2023","W","980"
"1","05/17/2021","W","308"
"1","03/12/2021","W","234"
"1","09/01/2022","W","945"
"1","12/18/2024","W","1,078"
"1","11/15/2023","W","1,159"
"1","07/28/2021","W","395"
"1","06/15/2022","W","812"
"1","08/08/2023","W","1,093"
"1","11/21/2023","W","897"
"1","11/19/2021","W","581"
"1","05/14/2024","W","1,181"
"1","10/31/2024","W","1,140"
"1","09/11/2024","W","1,383"
"1","08/23/2023","W","1,240"
"1","11/03/2021","W","649"
"1","03/24/2021","W","211"
"1","01/14/2021","W","211"
"1","12/13/2021","W","592"
"1","12/08/2021","W","751"
"1","01/19/2024","W","781"
"1","08/28/2023","W","954"
"1","03/02/2021","W","269"
"1","06/25/2024","W","1,145"
"1","07/22/2021","W","430"
"1","05/28/2021","W","295"
"1","07/11/2023","W","1,055"
"1","02/03/2021","W","236"
"1","04/11/2023","W","1,190"
"1","10/03/2022","W","756"
"1","09/18/2023","W","1,061"
"1","02/28/2023","W","1,138"
"1","09/30/2024","W","1,061"
"1","08/03/2022","W","742"
"1","11/16/2023","W","1,208"
"1","06/27/2022","W","577"
"1","03/15/2024","W","787"
"1","07/01/2024","W","907"
"1","11/17/2022","W","915"
"1","07/08/2022","W","551"
"1","03/13/2023","W","886"
"1","06/26/2024","W","1,321"
"1","07/19/2022","W","953"
"1","12/28/2021","W","389"
"1","12/30/2021","W","295"
"1","05/15/2023","W","930"
"1","10/30/2024","W","1,366"
"1","02/07/2022","W","472"
"1","06/07/2022","W","861"
"1","05/12/2022","W","827"
"1","09/12/2023","W","1,320"
"1","03/30/2022","W","646"
"1","10/17/2024","W","1,350"
"1","05/15/2024","W","1,154"
"1","02/01/2023","W","1,014"
"1","05/18/2021","W","294"
"1","08/11/2022","W","655"
"1","11/24/2021","W","456"
"1","09/15/2021","W","663"
"1","11/30/2021","W","669"
"1","11/29/2022","W","957"
"1","05/07/2021","W","283"
"1","12/09/2024","W","955"
"1","04/19/2023","W","1,126"
"1","04/21/2022","W","672"
"1","08/19/2022","W","630"
"1","01/09/2024","W","1,088"
"1","12/31/2024","W","392"
"1","08/19/2024","W","558"
"1","10/29/2024","W","1,337"
"1","02/09/2024","W","734"
"1","10/20/2021","W","660"
"1","01/12/2022","W","405"
"1","04/09/2021","W","196"
"1","10/23/2023","W","902"
"1","01/11/2021","W","158"
"1","10/01/2024","W","1,411"
"1","04/05/2024","W","757"
"1","11/17/2023","W","817"
"1","06/30/2021","W","381"
"1","09/23/2021","W","491"
"1","06/27/2024","W","1,207"
"1","02/01/2022","W","734"
"1","02/04/2021","W","229"
"1","04/19/2024","W","812"
"1","09/13/2022","W","1,032"
"1","04/26/2024","W","830"
"1","07/09/2021","W","370"
"1","08/24/2021","W","448"
"1","11/16/2022","W","785"
"1","02/08/2024","W","1,077"
"1","04/18/2023","W","1,090"
"1","10/28/2022","W","468"
"1","02/02/2023","W","1,035"
"1","04/26/2022","W","821"
"1","10/25/2021","W","597"
"1","07/26/2024","W","735"
"1","06/08/2023","W","787"
"1","12/21/2021","W","386"
"1","08/31/2022","W","751"
"1","06/09/2023","W","622"
"1","06/28/2024","W","821"
"1","12/20/2022","W","497"
"1","08/02/2022","W","711"
"1","12/08/2022","W","876"
"1","07/23/2024","W","1,128"
"1","04/17/2023","W","916"
"1","05/26/2021","W","327"
"1","12/06/2023","W","1,156"
"1","10/29/2021","W","578"
"1","09/28/2022","W","836"
"1","10/28/2024","W","1,050"
"1","08/17/2023","W","1,041"
"1","08/14/2024","W","1,189"
"1","02/07/2024","W","1,299"
"1","05/24/2022","W","901"
"1","09/23/2022","W","572"
"1","03/31/2023","W","773"
"1","03/20/2023","W","926"
"1","02/17/2022","W","480"
"1","04/08/2021","W","165"
"1","03/14/2024","W","1,179"
"1","10/17/2023","W","1,339"
"1","02/10/2021","W","189"
"1","10/07/2021","W","537"
"1","07/12/2023","W","1,138"
"1","02/26/2021","W","207"
"1","10/18/2023","W","1,109"
"1","02/18/2021","W","235"
"1","06/02/2021","W","297"
"1","06/21/2021","W","352"
"1","05/09/2022","W","665"
"1","04/12/2024","W","898"
"1","07/10/2024","W","1,238"
"1","12/29/2021","W","332"
"1","04/03/2024","W","1,293"
"1","02/03/2023","W","560"
"1","02/05/2021","W","201"
"1","03/26/2024","W","1,121"
"1","03/25/2021","W","225"
"1","03/07/2024","W","1,328"
"1","05/16/2024","W","940"
"1","10/06/2023","W","966"
"1","02/16/2023","W","1,098"
"1","04/03/2023","W","805"
"1","11/08/2022","W","864"
"1","03/22/2023","W","1,052"
"1","03/09/2023","W","1,038"
"1","07/05/2022","W","684"
"1","01/15/2021","W","197"
"1","04/19/2022","W","748"
"1","09/01/2021","W","601"
"1","12/23/2024","W","490"
"1","04/12/2022","W","686"
"1","03/09/2021","W","237"
"1","09/16/2024","W","1,084"
"1","10/24/2023","W","1,277"
"1","08/09/2023","W","1,066"
"1","01/20/2022","W","360"
"1","03/14/2022","W","516"
"1","11/20/2023","W","869"
"1","12/09/2021","W","630"
"1","06/26/2023","W","911"
"1","12/30/2024","W","482"
"1","01/09/2023","W","798"
"1","04/30/2021","W","255"
"1","05/17/2024","W","743"
"1","03/17/2021","W","221"
"1","10/05/2021","W","571"
"1","02/09/2023","W","1,035"
"1","06/14/2022","W","816"
"1","03/06/2024","W","1,340"
"1","07/03/2024","W","905"
"1","12/15/2023","W","787"
"1","09/21/2021","W","574"
"1","12/06/2024","W","738"
"1","08/11/2023","W","739"
"1","09/17/2021","W","497"
"1","10/27/2021","W","643"
"1","01/03/2023","W","709"
"1","05/12/2023","W","783"
"1","08/13/2021","W","353"
"1","12/16/2021","W","657"
"1","11/08/2021","W","566"
"1","12/22/2021","W","406"
"1","12/22/2022","W","247"
"1","05/16/2022","W","698"
"1","04/02/2021","W","255"
"1","01/04/2024","W","988"
"1","12/12/2022","W","854"
"1","09/07/2022","W","708"
"1","08/24/2022","W","713"
"1","11/27/2023","W","912"
"1","07/28/2023","W","737"
"1","12/19/2024","W","1,032"
"1","09/13/2021","W","522"
"1","12/05/2024","W","1,215"
"1","03/05/2024","W","1,294"
"1","09/25/2023","W","1,007"
"1","10/18/2022","W","1,063"
"1","01/10/2024","W","1,188"
"1","01/11/2022","W","408"
"1","03/11/2021","W","241"
"1","01/31/2024","W","1,191"
"1","09/11/2023","W","1,003"
"1","04/14/2023","W","724"
"1","02/21/2022","W","355"
"1","10/21/2022","W","593"
"1","06/07/2021","W","318"
"1","10/25/2023","W","1,120"
"1","12/29/2023","W","431"
"1","09/17/2024","W","1,463"
"1","10/16/2024","W","1,325"
"1","05/02/2022","W","672"
"1","08/26/2024","W","1,022"
"1","03/25/2024","W","815"
"1","04/29/2021","W","245"
"1","12/27/2022","W","460"
"1","10/10/2022","W","672"
"1","01/10/2023","W","937"
"1","01/18/2022","W","503"
"1","08/05/2022","W","642"
"1","03/16/2022","W","861"
"1","07/11/2024","W","1,040"
"1","08/09/2024","W","730"
"1","06/10/2022","W","675"
"1","05/20/2024","W","1,070"
"1","12/04/2024","W","1,154"
"1","04/17/2024","W","2,499"
"1","05/11/2022","W","796"
"1","06/17/2022","W","437"
"1","11/22/2023","W","568"
"1","05/11/2023","W","1,108"
"1","08/22/2023","W","1,204"
"1","03/24/2022","W","823"
"1","08/18/2023","W","896"
"1","07/18/2022","W","769"
"1","05/21/2024","W","1,137"
"1","05/07/2024","W","1,178"
"1","12/03/2024","W","1,270"
